ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2130	"ENSG00000221995.4"	"TIAF1"	chr17	-	27412621	27412666	27413455	27413595	27409333	27409456	27413953	27414139	2130	333,167	9,5	140,46	101,43	199	144	0.0	0.0	0.964,0.96	0.501,0.436	0.493
5143	"ENSG00000197249.8"	"SERPINA1"	chr14	-	94847207	94847478	94848928	94849578	94845800	94845948	94854896	94855000	5143	550,552	18013,16887	164,53	10159,11096	199	199	0.0	0.0	0.03,0.032	0.016,0.005	0.02
36	"ENSG00000137177.14"	"KIF13A"	chr6	-	17790102	17790141	17794479	17794626	17788006	17788106	17794802	17794935	36	145,138	46,37	60,104	105,130	199	138	1.11022302463e-16	1.54061948384e-13	0.686,0.721	0.284,0.357	0.383
2036	"ENSG00000170144.14"	"HNRNPA3"	chr2	+	178081230	178081320	178081403	178081499	178080705	178080916	178081587	178081668	2036	3124,3034	436,183	2656,3827	123,109	189	195	4.59632332195e-14	4.78362349732e-11	0.881,0.945	0.957,0.973	-0.052
3793	"ENSG00000175832.8"	"ETV4"	chr17	-	41610554	41610716	41611226	41611353	41610041	41610307	41613793	41613847	3793	1568,2511	159,241	1030,1755	59,25	199	199	9.95870053089e-14	8.29161406202e-11	0.908,0.912	0.946,0.986	-0.056
3798	"ENSG00000175832.8"	"ETV4"	chr17	-	41607474	41607549	41610041	41610307	41607251	41607320	41610554	41610716	3798	159,243	457,490	55,22	342,248	199	174	2.28672636382e-12	1.58660697543e-09	0.233,0.302	0.123,0.072	0.17
3065	"ENSG00000158435.3"	"CNOT11"	chr2	+	101874252	101874417	101879000	101879153	101869263	101869940	101881306	101881509	3065	37,82	651,734	8,27	564,1002	199	199	2.80887535453e-10	1.67047830013e-07	0.054,0.1	0.014,0.026	0.057
3910	"ENSG00000136754.12"	"ABI1"	chr10	-	27044583	27044670	27047990	27048167	27040526	27040712	27054146	27054247	3910	139,254	24,53	87,217	45,135	199	186	4.15180678726e-09	1.9798386981e-06	0.844,0.817	0.644,0.6	0.209
3911	"ENSG00000136754.12"	"ABI1"	chr10	-	27044583	27044670	27047990	27048164	27040526	27040712	27054146	27054247	3911	115,215	24,53	70,181	45,135	199	186	4.28021817989e-09	1.9798386981e-06	0.817,0.791	0.592,0.556	0.23
1821	"ENSG00000125971.12"	"DYNLRB1"	chr20	+	33114072	33114148	33122431	33122599	33104213	33104266	33128384	33128762	1821	515,772	5513,5943	237,473	3542,9289	175	199	6.56508958308e-09	2.73304679344e-06	0.096,0.129	0.071,0.055	0.05
2840	"ENSG00000204227.4"	"RING1"	chr6	+	33177402	33177563	33177691	33177907	33176541	33176677	33178934	33179324	2840	309,321	18,58	353,354	10,6	199	199	2.38165901445e-08	9.01349679741e-06	0.945,0.847	0.972,0.983	-0.082
1766	"ENSG00000122566.16"	"HNRNPA2B1"	chr7	-	26236020	26236101	26236176	26236278	26235466	26235529	26236426	26236637	1766	9031,6772	3465,1933	7620,10835	1768,1631	199	180	2.75163510866e-08	9.54588079779e-06	0.702,0.76	0.796,0.857	-0.096
1045	"ENSG00000185721.7"	"DRG1"	chr22	+	31799014	31799190	31806997	31807067	31796605	31796729	31816241	31816411	1045	131,38	248,118	39,14	189,218	199	169	1.40165822948e-07	4.48854093025e-05	0.31,0.215	0.149,0.052	0.162
4190	"ENSG00000163466.11"	"ARPC2"	chr2	+	219104113	219104207	219110142	219110269	219103386	219103573	219114086	219114187	4190	1022,1099	874,1215	873,1410	471,774	193	199	1.78755142466e-07	5.31541184347e-05	0.547,0.483	0.656,0.653	-0.14
1512	"ENSG00000100528.7"	"CNIH1"	chr14	-	54896978	54897122	54898825	54898938	54893653	54894559	54903086	54903155	1512	106,140	620,450	54,55	583,552	199	199	4.62201748541e-07	0.000103729479909	0.146,0.237	0.085,0.091	0.104
1517	"ENSG00000108654.7"	"DDX5"	chr17	-	62500339	62500436	62500794	62500960	62500100	62500234	62502193	62502407	1517	7474,4728	498,382	4628,2278	493,362	199	196	4.58925613844e-07	0.000103729479909	0.937,0.924	0.902,0.861	0.049
1839	"ENSG00000068078.13"	"FGFR3"	chr4	+	1804640	1804791	1805418	1805563	1803561	1803752	1806056	1806247	1839	195,112	322,171	136,46	89,31	199	199	3.85042305262e-07	0.000103729479909	0.377,0.396	0.604,0.597	-0.214
2067	"ENSG00000125351.6"	"UPF3B"	chrX	-	118975697	118975741	118977153	118977264	118975038	118975221	118979160	118979217	2067	52,49	328,161	87,89	140,189	199	143	4.00746221874e-07	0.000103729479909	0.102,0.179	0.309,0.253	-0.141
687	"ENSG00000196136.12"	"SERPINA3"	chr14	+	95080770	95081421	95085531	95085805	95078713	95078784	95088677	95088828	687	12664,10138	17801,11118	4449,2263	8942,4844	199	199	4.73423040659e-07	0.000103729479909	0.416,0.477	0.332,0.318	0.121
3921	"ENSG00000154556.13"	"SORBS2"	chr4	-	186605907	186606000	186611715	186611765	186599949	186599976	186655252	186655308	3921	1,9	25,29	20,43	11,20	149	192	5.24140092772e-07	0.00010909976031	0.049,0.286	0.701,0.735	-0.55
3918	"ENSG00000154556.13"	"SORBS2"	chr4	-	186605907	186606000	186611715	186611765	186599949	186599976	186696380	186696520	3918	6,21	23,34	33,71	13,21	149	192	6.58003737608e-07	0.000130441407603	0.252,0.443	0.766,0.813	-0.442
5031	"ENSG00000166278.10"	"C2"	chr6	+	31901643	31901742	31903699	31903838	31901386	31901560	31905095	31905236	5031	541,164	1328,1198	181,20	1071,1288	198	199	1.09858378172e-06	0.000207882012877	0.29,0.121	0.145,0.015	0.126
1454	"ENSG00000091583.6"	"APOH"	chr17	-	64219815	64219892	64222145	64222242	64216671	64216860	64224137	64224314	1454	6069,7708	1821,2216	5828,7808	1188,1205	196	176	1.27596969979e-06	0.000230950515662	0.75,0.757	0.815,0.853	-0.08
5048	"ENSG00000087460.19"	"GNAS"	chr20	+	57473995	57474040	57475003	57475085	57470666	57470739	57478585	57478640	5048	1511,1011	43,31	1105,1033	2,9	144	181	1.51637140344e-06	0.000263027256355	0.978,0.976	0.999,0.993	-0.019
657	"ENSG00000105379.5"	"ETFB"	chr19	-	51853582	51853645	51856504	51856544	51850153	51850312	51857403	51857562	657	528,200	4958,3194	179,31	2304,1985	139	162	2.50927778078e-06	0.000417844936055	0.11,0.068	0.083,0.018	0.038
4268	"ENSG00000068745.10"	"IP6K2"	chr3	-	48748799	48748892	48752747	48752960	48732522	48732851	48754589	48754621	4268	53,55	19,13	76,34	2,0	199	192	3.18272763355e-06	0.000509603659172	0.729,0.803	0.973,1.0	-0.22
4712	"ENSG00000101546.8"	"RBFA"	chr18	+	77798504	77798617	77802134	77802219	77797329	77797506	77804211	77804285	4712	56,46	334,252	23,13	237,347	199	184	3.7464321907e-06	0.000577644341107	0.134,0.144	0.082,0.033	0.082
1598	"ENSG00000138674.12"	"SEC31A"	chr4	-	83752089	83752128	83763292	83763634	83750152	83750211	83765538	83765662	1598	622,864	21,25	274,502	45,27	199	138	3.94599043274e-06	0.000586684220411	0.954,0.96	0.809,0.928	0.088
4822	"ENSG00000005700.10"	"IBTK"	chr6	-	82943875	82943972	82949882	82950560	82941434	82941559	82957278	82957388	4822	25,33	438,321	10,2	294,382	199	196	4.19380676664e-06	0.000602028192052	0.053,0.092	0.032,0.005	0.054
1732	"ENSG00000137288.5"	"UQCC2"	chr6	-	33668220	33668290	33669122	33669197	33664537	33665527	33679325	33679504	1732	103,71	126,112	28,28	103,93	174	169	6.10155696978e-06	0.000747081813682	0.443,0.381	0.209,0.226	0.195
2517	"ENSG00000092108.16"	"SCFD1"	chr14	+	31108982	31109070	31112521	31112611	31107330	31107453	31118733	31118789	2517	644,417	343,178	494,526	157,106	187	189	5.99648780852e-06	0.000747081813682	0.655,0.703	0.761,0.834	-0.118
3375	"ENSG00000078674.13"	"PCM1"	chr8	+	17838078	17838264	17840741	17840798	17830091	17830196	17842955	17843128	3375	211,148	36,26	170,160	2,12	199	156	5.94461141101e-06	0.000747081813682	0.821,0.817	0.985,0.913	-0.13
3378	"ENSG00000078674.13"	"PCM1"	chr8	+	17838099	17838264	17840741	17840798	17830091	17830196	17842955	17843128	3378	271,217	36,26	223,217	2,12	199	156	5.56201831048e-06	0.000747081813682	0.855,0.867	0.989,0.934	-0.101
4313	"ENSG00000101040.15"	"ZMYND8"	chr20	-	45867639	45867882	45874751	45875261	45865069	45865260	45878030	45878183	4313	241,292	107,95	260,378	54,60	199	199	5.93421521955e-06	0.000747081813682	0.693,0.755	0.828,0.863	-0.121
1599	"ENSG00000138674.12"	"SEC31A"	chr4	-	83752089	83752128	83763337	83763634	83750152	83750211	83765538	83765662	1599	597,800	21,25	262,483	45,27	199	138	7.55613109671e-06	0.000898747821589	0.952,0.957	0.801,0.925	0.091
1261	"ENSG00000100593.13"	"ISM2"	chr14	-	77950665	77950908	77951019	77951262	77948664	77949010	77964995	77965210	1261	78,104	201,223	11,5	96,36	199	199	1.16448808593e-05	0.00134660108381	0.28,0.318	0.103,0.122	0.187
837	"ENSG00000075420.8"	"FNDC3B"	chr3	+	171851260	171851336	171944660	171944737	171830241	171830380	171965322	171965566	837	117,211	342,925	119,207	226,425	175	176	1.26144116958e-05	0.0014192917808	0.256,0.187	0.346,0.329	-0.116
1958	"ENSG00000163586.5"	"FABP1"	chr2	-	88424012	88424101	88425694	88425867	88422509	88422623	88427469	88427635	1958	22699,15577	2244,1633	10666,6136	1375,1725	199	188	1.30588598773e-05	0.00143063246498	0.905,0.9	0.88,0.771	0.077
856	"ENSG00000142687.13"	"KIAA0319L"	chr1	-	35932208	35932296	35936463	35936561	35928221	35928314	35940405	35940507	856	77,140	85,147	77,142	44,61	197	187	1.50936972363e-05	0.00161115542551	0.462,0.475	0.624,0.688	-0.187
3920	"ENSG00000154556.13"	"SORBS2"	chr4	-	186605907	186606000	186611715	186611765	186599949	186599976	186696384	186696520	3920	1,11	25,30	20,41	13,22	149	192	1.61495585581e-05	0.00168076530693	0.049,0.321	0.665,0.706	-0.5
1956	"ENSG00000163586.5"	"FABP1"	chr2	-	88424012	88424127	88425694	88425867	88422509	88422623	88427469	88427635	1956	22699,15577	2861,2040	10666,6136	1795,2115	199	199	1.71092549247e-05	0.00170882276623	0.888,0.884	0.856,0.744	0.086
244	"ENSG00000149547.10"	"EI24"	chr11	+	125449988	125450100	125451106	125451218	125448028	125448153	125452241	125452315	244	0,3	84,130	8,11	27,91	199	199	1.76505834609e-05	0.00170882276623	0.0,0.023	0.229,0.108	-0.157
4562	"ENSG00000171960.6"	"PPIH"	chr1	+	43125192	43125237	43126532	43126575	43124898	43124922	43130533	43130626	4562	145,134	13,12	91,92	20,44	144	142	1.74228295479e-05	0.00170882276623	0.917,0.917	0.818,0.673	0.171
1915	"ENSG00000088888.13"	"MAVS"	chr20	+	3838281	3838456	3841978	3842151	3835204	3835388	3842900	3843060	1915	57,147	73,154	60,118	34,35	199	199	1.82725304827e-05	0.00172883055453	0.438,0.488	0.638,0.771	-0.242
