ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
43148	ENSG00000131584.14	ACAP3	chr1	-	1229781	1230008	1229469	1229579	1230097	1230196	43148	452,142	1,0	140,50	6,2	199	100	0.000118976753874	0.0227044999559	0.996,1.0	0.921,0.926	0.075
52308	ENSG00000188257.6	PLA2G2A	chr1	-	20306072	20306152	20305226	20305372	20306854	20306900	52308	59,20	0,2	10,4	4,2	179	100	0.00107279130021	0.094656529158	1.0,0.848	0.583,0.528	0.368
9145	ENSG00000142687.13	KIAA0319L	chr1	-	35908758	35908928	35908506	35908629	35909761	35909904	9145	8,13	103,71	4,0	132,59	199	100	0.00107918402145	0.0949653006329	0.038,0.084	0.015,0.0	0.053
40003	ENSG00000196505.6	GDAP2	chr1	-	118420367	118420463	118406106	118413238	118420630	118420737	40003	10,18	41,42	2,0	29,53	195	100	3.15712896425e-05	0.00803305767392	0.111,0.18	0.034,0.0	0.129
49805	ENSG00000116584.13	ARHGEF2	chr1	-	155935421	155935551	155935114	155935203	155936206	155936270	49805	35,71	0,0	26,12	7,2	199	100	0.00013450093051	0.0245262446785	1.0,1.0	0.651,0.751	0.299
37818	ENSG00000116586.7	LAMTOR2	chr1	+	156027768	156027858	156025053	156025216	156028105	156028301	37818	169,78	0,0	90,36	6,2	189	100	0.000702285621187	0.0729465852665	1.0,1.0	0.888,0.905	0.103
12382	ENSG00000143222.7	UFC1	chr1	+	161127910	161128001	161127406	161127483	161128201	161128646	12382	500,294	7,0	319,235	16,8	190	100	0.000172292224731	0.0284188115466	0.974,1.0	0.913,0.939	0.061
24043	ENSG00000132196.9	HSD17B7	chr1	+	162772621	162772739	162769532	162769727	162773220	162773325	24043	14,13	6,9	1,4	10,32	199	100	1.17022444623e-06	0.000548718242837	0.54,0.421	0.048,0.059	0.427
18084	ENSG00000094975.9	SUCO	chr1	+	172546678	172546699	172544657	172544763	172546903	172546959	18084	15,63	2,3	18,33	9,21	120	100	7.50984558173e-06	0.00259469117399	0.862,0.946	0.625,0.567	0.308
17370	ENSG00000156110.9	ADK	chr10	+	75934173	75934376	75910992	75911101	75960521	75960596	17370	11,8	38,33	0,0	51,26	199	100	4.37552840777e-05	0.0104070991977	0.127,0.109	0.0,0.0	0.118
14627	ENSG00000076685.14	NT5C2	chr10	-	104865114	104865138	104860991	104861083	104865462	104865558	14627	44,42	207,240	14,26	170,293	123	100	0.000402767947963	0.050266358768	0.147,0.125	0.063,0.067	0.071
41867	ENSG00000148700.9	ADD3	chr10	+	111892062	111892158	111890120	111890244	111893083	111893969	41867	84,77	7,10	16,27	5,14	195	100	0.00063702178937	0.0685539875164	0.86,0.798	0.621,0.497	0.27
30192	ENSG00000175470.14	PPP2R2D	chr10	+	133748397	133748510	133747959	133748059	133753534	133753700	30192	15,10	9,39	0,0	28,25	199	100	0.000102133741138	0.0205664772109	0.456,0.114	0.0,0.0	0.285
7992	ENSG00000110713.11	NUP98	chr11	-	3707202	3707424	3704429	3704671	3712576	3712719	7992	64,53	1,0	47,17	17,1	199	100	0.00101621166465	0.0923964417418	0.97,1.0	0.581,0.895	0.247
22831	ENSG00000182985.12	CADM1	chr11	-	115069125	115069158	115049363	115049495	115080293	115080377	22831	25,29	54,49	13,1	63,46	132	100	6.6701950907e-05	0.0148935927525	0.26,0.31	0.135,0.016	0.21
2399	ENSG00000149547.10	EI24	chr11	+	125451106	125451218	125449988	125450100	125452241	125452315	2399	156,250	0,3	62,189	6,9	199	100	0.000413552672031	0.051053908458	1.0,0.977	0.839,0.913	0.112
34864	ENSG00000151500.10	THYN1	chr11	-	134118702	134118841	134118172	134118378	134119060	134119156	34864	52,18	40,27	24,16	56,57	199	100	0.000916224192496	0.0871687729574	0.395,0.251	0.177,0.124	0.173
50350	ENSG00000067182.3	TNFRSF1A	chr12	-	6440018	6440126	6439607	6439877	6442234	6442313	50350	202,169	0,0	138,55	7,4	199	100	4.27369504463e-05	0.0102390870401	1.0,1.0	0.908,0.874	0.109
7216	ENSG00000197111.11	PCBP2	chr12	+	53861588	53861627	53861004	53861077	53862560	53862616	7216	376,410	97,105	193,241	82,170	138	100	6.15698577686e-05	0.0139372927003	0.737,0.739	0.63,0.507	0.169
25450	ENSG00000135679.17	MDM2	chr12	+	69209407	69209500	69207333	69207408	69210591	69210725	25450	16,6	15,29	2,0	33,30	192	100	0.00037175471729	0.0476644729907	0.357,0.097	0.031,0.0	0.211
9615	ENSG00000139350.7	NEDD1	chr12	+	97328753	97328983	97313762	97313903	97330388	97330590	9615	182,274	0,0	149,275	4,10	199	100	0.000376038008332	0.0478399052228	1.0,1.0	0.949,0.933	0.059
39802	ENSG00000111445.9	RFC5	chr12	+	118455494	118455620	118454505	118454697	118456876	118456941	39802	14,15	37,63	0,3	41,81	199	100	4.08523113216e-06	0.00150662406125	0.16,0.107	0.0,0.018	0.125
1127	ENSG00000111450.9	STX2	chr12	-	131280539	131280665	131275378	131276522	131283069	131283180	1127	41,47	16,38	13,31	23,69	199	100	0.000175267475548	0.028479229455	0.563,0.383	0.221,0.184	0.27
2639	ENSG00000213983.7	AP1G2	chr14	-	24035336	24035369	24035024	24035238	24035486	24035784	2639	85,58	30,29	29,25	38,30	132	100	3.13537865704e-05	0.00803305767392	0.682,0.602	0.366,0.387	0.266
