ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
15020	ENSG00000160087.16	UBE2J2	chr1	-	1206889	1207017	1203135	1203372	1209045	1209234	15020	0,0	51,49	0,8	26,16	199	100	0.000585254479268	0.0655624838669	0.0,0.0	0.0,0.201	-0.101
21705	ENSG00000074964.12	ARHGEF10L	chr1	+	17961042	17961057	17958815	17958961	17961329	17961511	21705	21,13	31,30	32,25	17,10	114	100	0.000103541465565	0.0207228141722	0.373,0.275	0.623,0.687	-0.331
2287	ENSG00000159023.14	EPB41	chr1	+	29386933	29386996	29379615	29379824	29391493	29391670	2287	15,12	132,119	104,209	40,52	162	100	0.0	0.0	0.066,0.059	0.616,0.713	-0.602
45823	ENSG00000116350.11	SRSF4	chr1	-	29476614	29476704	29474254	29475738	29481207	29481422	45823	263,362	21,23	175,232	6,1	189	100	0.000571275195413	0.0644363083816	0.869,0.893	0.939,0.992	-0.085
40673	ENSG00000134686.12	PHC2	chr1	-	33800766	33800960	33799690	33799893	33815197	33815485	40673	15,5	51,40	12,8	14,8	199	100	0.000375144254583	0.0478399052228	0.129,0.059	0.301,0.334	-0.224
45853	ENSG00000142949.12	PTPRF	chr1	+	44067741	44067768	44064509	44064584	44069086	44069204	45853	0,7	251,219	7,10	127,81	126	100	0.000137296245494	0.0247608498124	0.0,0.025	0.042,0.089	-0.053
24350	ENSG00000132780.12	NASP	chr1	+	46072992	46074009	46072153	46072263	46078840	46078920	24350	506,448	547,484	703,925	446,726	199	100	0.00030471211137	0.0412753199811	0.317,0.317	0.442,0.39	-0.099
25133	ENSG00000117859.14	OSBPL9	chr1	+	52221991	52222030	52215816	52215867	52226361	52226452	25133	27,27	18,9	54,38	2,1	138	100	4.06361322947e-06	0.00150662406125	0.521,0.685	0.951,0.965	-0.355
32890	ENSG00000157193.10	LRP8	chr1	-	53738275	53738314	53736898	53737018	53741302	53741335	32890	0,0	12,16	11,5	10,4	138	100	3.48778205322e-05	0.00867268714643	0.0,0.0	0.444,0.475	-0.46
24181	ENSG00000134716.5	CYP2J2	chr1	-	60370037	60370188	60366636	60366775	60370542	60370730	24181	5,4	87,31	9,4	27,7	199	100	0.00068710177499	0.0718240177086	0.028,0.061	0.143,0.223	-0.139
43112	ENSG00000067208.10	EVI5	chr1	-	93128976	93129009	93101758	93101893	93131495	93131549	43112	5,2	4,12	41,42	10,2	132	100	0.00030586836945	0.0412753199811	0.486,0.112	0.756,0.941	-0.55
51442	ENSG00000121940.11	CLCC1	chr1	-	109489959	109490130	109486457	109486679	109490232	109490340	51442	2,0	118,37	12,2	47,58	199	100	0.00081920865329	0.0819783098382	0.008,0.0	0.114,0.017	-0.061
18787	ENSG00000143437.16	ARNT	chr1	-	150814899	150814944	150811916	150812130	150818738	150818783	18787	179,124	62,54	211,262	27,34	144	100	4.59432566435e-08	2.64560616282e-05	0.667,0.615	0.844,0.843	-0.202
4204	ENSG00000143393.12	PI4KB	chr1	-	151282686	151282731	151280049	151280277	151288048	151288985	4204	4,6	70,56	10,11	25,41	144	100	0.000924870350802	0.0874842061221	0.038,0.069	0.217,0.157	-0.134
15694	ENSG00000117143.9	UAP1	chr1	+	162562521	162562572	162560112	162560301	162567581	162567648	15694	3,9	61,50	33,16	18,16	150	100	2.10287898206e-10	1.53383992951e-07	0.032,0.107	0.55,0.4	-0.406
1754	ENSG00000143164.11	DCAF6	chr1	+	167985018	167985189	167973770	167974031	167992225	167992285	1754	0,0	24,22	6,2	4,5	199	100	9.05720961554e-05	0.0189353370198	0.0,0.0	0.43,0.167	-0.298
26594	ENSG00000154380.12	ENAH	chr1	-	225692692	225692755	225688693	225688772	225695652	225695719	26594	4,19	106,148	133,241	43,136	162	100	0.0	0.0	0.023,0.073	0.656,0.522	-0.541
40641	ENSG00000136754.12	ABI1	chr10	-	27044583	27044670	27040526	27040712	27047990	27048167	40641	39,90	108,198	86,253	56,165	186	100	2.86437540353e-14	3.61605361039e-11	0.163,0.196	0.452,0.452	-0.273
