ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4562	ENSG00000171960.6	PPIH	chr1	+	43125192	43125237	43126532	43126575	43124898	43124922	43130533	43130626	4562	145,134	13,12	91,92	20,44	144	142	1.74228295479e-05	0.00170882276623	0.917,0.917	0.818,0.673	0.171
3682	ENSG00000085999.7	RAD54L	chr1	+	46739026	46739137	46739295	46739419	46738343	46738474	46739809	46739888	3682	30,19	47,24	5,4	38,19	199	199	0.000318372150636	0.0163396032125	0.39,0.442	0.116,0.174	0.271
4111	ENSG00000122483.13	CCDC18	chr1	+	93676358	93676483	93677657	93677818	93672663	93672955	93680302	93680523	4111	20,10	33,27	7,10	27,101	199	199	0.00119353408726	0.0403957919127	0.377,0.27	0.206,0.09	0.176
5332	ENSG00000117543.15	DPH5	chr1	-	101467022	101467143	101479265	101479374	101460665	101460705	101487196	101487321	5332	22,23	112,61	5,10	91,112	199	199	0.000194063887739	0.0117085212269	0.164,0.274	0.052,0.082	0.152
181	ENSG00000143164.11	DCAF6	chr1	+	167992225	167992285	168007608	168007726	167973770	167974031	168012262	168012378	181	24,22	82,118	4,5	60,85	159	199	0.000788406910326	0.0287906839271	0.268,0.189	0.077,0.069	0.155
4939	ENSG00000176393.6	RNPEP	chr1	+	201958510	201958659	201965274	201965391	201958031	201958172	201966446	201966682	4939	23,23	86,76	13,11	91,111	199	199	0.00290372520434	0.0729792786455	0.211,0.232	0.125,0.09	0.114
3910	ENSG00000136754.12	ABI1	chr10	-	27044583	27044670	27047990	27048167	27040526	27040712	27054146	27054247	3910	139,254	24,53	87,217	45,135	199	186	4.15180678726e-09	1.9798386981e-06	0.844,0.817	0.644,0.6	0.209
4951	ENSG00000166295.4	ANAPC16	chr10	+	73983645	73983814	73990123	73990198	73975805	73975896	73992758	73995618	4951	31,17	205,138	11,6	205,110	199	174	0.0023729104886	0.0625216858484	0.117,0.097	0.045,0.046	0.062
1622	ENSG00000107957.12	SH3PXD2A	chr10	-	105526851	105526927	105561039	105561120	105495489	105495566	105614952	105615301	1622	20,32	43,79	9,10	37,81	180	175	0.00308999186229	0.0756684477807	0.311,0.283	0.191,0.107	0.148
1494	ENSG00000077616.6	NAALAD2	chr11	+	89891312	89891406	89892406	89892505	89885465	89885652	89896116	89896202	1494	31,28	4,0	10,3	6,7	193	198	0.000321846616244	0.0163396032125	0.888,1.0	0.631,0.305	0.476
5336	ENSG00000137693.9	YAP1	chr11	+	102033186	102033302	102056748	102056862	101984874	101985125	102076623	102076817	5336	181,401	82,93	135,322	110,175	199	199	0.000782911287032	0.0287906839271	0.688,0.812	0.551,0.648	0.15
3072	ENSG00000087470.13	DNM1L	chr12	+	32866142	32866305	32871576	32871697	32863862	32863949	32873597	32873729	3072	18,18	166,176	4,15	166,269	199	199	0.00435209062344	0.0943632982572	0.098,0.093	0.024,0.053	0.057
