ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
989	ENSG00000011009.6	LYPLA2	chr1	+	24120349	24120420	24120552	24120626	24120194	24120242	24120713	24120815	989	349,145	109,45	204,95	37,12	170	173	0.0019971739636	0.056338871815	0.765,0.766	0.849,0.89	-0.104
856	ENSG00000142687.13	KIAA0319L	chr1	-	35932208	35932296	35936463	35936561	35928221	35928314	35940405	35940507	856	77,140	85,147	77,142	44,61	197	187	1.50936972363e-05	0.00161115542551	0.462,0.475	0.624,0.688	-0.187
2064	ENSG00000066136.15	NFYC	chr1	+	41215244	41215358	41218822	41218918	41213205	41213277	41223792	41223966	2064	231,173	29,70	231,277	23,26	199	195	0.00196603749846	0.056083641679	0.886,0.708	0.908,0.913	-0.114
1558	ENSG00000010803.12	SCMH1	chr1	-	41617285	41617356	41625396	41625605	41608549	41608784	41626546	41626570	1558	16,27	25,29	13,34	7,13	199	170	0.00326113040539	0.0775776335865	0.353,0.443	0.613,0.691	-0.254
4936	ENSG00000162368.9	CMPK1	chr1	+	47838626	47838779	47840580	47840657	47834140	47834287	47840868	47840965	4936	392,482	2253,1845	333,569	1294,1455	199	176	0.000769863464948	0.0287906839271	0.133,0.188	0.185,0.257	-0.06
1633	ENSG00000162599.11	NFIA	chr1	+	61818121	61818239	61824818	61824946	61798183	61798258	61848908	61849037	1633	6,13	12,19	12,50	9,11	199	199	0.00318321537214	0.0761593424955	0.333,0.406	0.571,0.82	-0.326
4114	ENSG00000122483.13	CCDC18	chr1	+	93683294	93683426	93685854	93686027	93682192	93682303	93687165	93687300	4114	80,60	9,10	62,130	3,1	199	199	0.000508170384546	0.021586870519	0.899,0.857	0.954,0.992	-0.095
2951	ENSG00000117360.8	PRPF3	chr1	+	150310635	150310802	150312873	150312953	150307405	150307712	150315784	150315928	2951	46,55	67,50	39,44	21,21	199	179	0.00308874786933	0.0756684477807	0.382,0.497	0.626,0.653	-0.2
2994	ENSG00000107537.9	PHYH	chr10	-	13330359	13330541	13333830	13333912	13325689	13325839	13336427	13336596	2994	337,281	68,94	266,249	31,31	181	199	7.66208952225e-05	0.0053637129622	0.845,0.767	0.904,0.898	-0.095
1026	ENSG00000108219.10	TSPAN14	chr10	+	82248972	82249070	82264483	82264534	82228302	82228443	82266983	82267130	1026	57,50	163,30	71,65	33,10	197	150	0.00308144058698	0.0756684477807	0.21,0.559	0.621,0.832	-0.342
783	ENSG00000110075.10	PPP6R3	chr11	+	68318588	68318654	68326033	68326147	68315534	68315672	68331770	68331900	783	73,150	23,37	73,168	4,26	165	199	0.00302839430047	0.0754922483405	0.793,0.83	0.957,0.886	-0.11
244	ENSG00000149547.10	EI24	chr11	+	125449988	125450100	125451106	125451218	125448028	125448153	125452241	125452315	244	0,3	84,130	8,11	27,91	199	199	1.76505834609e-05	0.00170882276623	0.0,0.023	0.229,0.108	-0.157
3630	ENSG00000110958.11	PTGES3	chr12	-	57059987	57060050	57064058	57064148	57058559	57058584	57065532	57065631	3630	1051,641	222,117	807,854	133,84	189	162	0.00225608663922	0.0609875888251	0.802,0.824	0.839,0.897	-0.055
3383	ENSG00000127314.13	RAP1B	chr12	+	69045774	69045831	69047891	69048032	69044179	69044248	69050085	69050229	3383	776,663	2140,1616	787,982	1384,1980	156	199	0.00341292000466	0.0798201459517	0.316,0.344	0.42,0.388	-0.074
5513	ENSG00000139292.8	LGR5	chr12	+	71953365	71953434	71955560	71955632	71950398	71950470	71960183	71960255	5513	157,305	57,96	179,305	40,48	168	171	0.000999370334014	0.0345198591167	0.737,0.764	0.82,0.866	-0.093
1021	ENSG00000204842.10	ATXN2	chr12	-	111902465	111902519	111907911	111908044	111895017	111895163	111908361	111908546	1021	92,173	30,73	131,162	10,36	199	153	0.000295754977006	0.015989973627	0.702,0.646	0.91,0.776	-0.169
2974	ENSG00000169062.10	UPF3A	chr13	+	115051993	115052104	115056963	115057019	115048311	115048418	115057108	115057267	2974	101,70	434,244	83,124	253,230	199	155	0.00330662202131	0.0781836866459	0.153,0.183	0.204,0.296	-0.082
5190	ENSG00000100897.13	DCAF11	chr14	+	24586876	24586941	24587263	24587364	24586474	24586602	24587596	24587743	5190	349,646	179,305	282,630	78,205	164	199	0.000518789419852	0.0217548245405	0.703,0.72	0.814,0.789	-0.09
2517	ENSG00000092108.16	SCFD1	chr14	+	31108982	31109070	31112521	31112611	31107330	31107453	31118733	31118789	2517	644,417	343,178	494,526	157,106	187	189	5.99648780852e-06	0.000747081813682	0.655,0.703	0.761,0.834	-0.118
1992	ENSG00000128833.8	MYO5C	chr15	-	52521329	52521510	52524818	52524882	52517635	52517729	52527866	52527960	1992	77,102	81,120	110,192	82,106	163	199	0.000979057820429	0.0342505689617	0.537,0.509	0.621,0.689	-0.132
2034	ENSG00000130731.11	C16orf13	chr16	-	684888	684956	685280	685340	684718	684797	685611	685774	2034	27,24	110,69	38,20	59,34	159	167	0.00219380516433	0.060084282231	0.205,0.268	0.404,0.382	-0.157
1059	ENSG00000126602.6	TRAP1	chr16	-	3721722	3721792	3722700	3722821	3715971	3716119	3724339	3724495	1059	137,133	784,671	129,109	437,361	199	169	0.000795574301638	0.0287997897193	0.129,0.144	0.2,0.204	-0.066
2589	ENSG00000140694.12	PARN	chr16	-	14693760	14693817	14698002	14698083	14687157	14687235	14700340	14700383	2589	319,225	118,84	366,485	89,99	180	156	0.000777493083825	0.0287906839271	0.701,0.699	0.781,0.809	-0.095
191	ENSG00000091262.10	ABCC6	chr16	-	16272654	16272822	16278815	16278891	16271308	16271483	16280980	16281068	191	11,16	17,14	25,3	3,1	175	199	0.00134235278339	0.0440016900571	0.424,0.565	0.905,0.773	-0.345
2594	ENSG00000080603.12	SRCAP	chr16	+	30732033	30732299	30732509	30732797	30731482	30731652	30733442	30733607	2594	16,33	12,35	19,20	5,4	199	199	0.00142694051778	0.0450026770873	0.571,0.485	0.792,0.833	-0.284
4784	ENSG00000172775.12	FAM192A	chr16	-	57212413	57212444	57212717	57212764	57207639	57207781	57219732	57219943	4784	0,0	63,50	7,0	25,33	146	130	0.00370633116193	0.0838557425387	0.0,0.0	0.2,0.0	-0.1
1944	ENSG00000090863.7	GLG1	chr16	-	74526854	74527038	74528657	74528729	74524898	74525113	74530338	74530542	1944	228,190	1423,770	180,202	670,456	171	199	0.000381650145343	0.018111641241	0.157,0.223	0.238,0.34	-0.099
2221	ENSG00000172660.7	TAF15	chr17	+	34149643	34149837	34151081	34151202	34147335	34147441	34161569	34161602	2221	38,154	23,23	50,127	5,9	199	199	0.00399141453238	0.0869961188393	0.623,0.87	0.909,0.934	-0.175
3793	ENSG00000175832.8	ETV4	chr17	-	41610554	41610716	41611226	41611353	41610041	41610307	41613793	41613847	3793	1568,2511	159,241	1030,1755	59,25	199	199	9.95870053089e-14	8.29161406202e-11	0.908,0.912	0.946,0.986	-0.056
1454	ENSG00000091583.6	APOH	chr17	-	64219815	64219892	64222145	64222242	64216671	64216860	64224137	64224314	1454	6069,7708	1821,2216	5828,7808	1188,1205	196	176	1.27596969979e-06	0.000230950515662	0.75,0.757	0.815,0.853	-0.08
4032	ENSG00000169710.6	FASN	chr17	-	80041077	80041197	80041215	80041301	80040789	80040991	80041392	80041515	4032	546,234	542,285	365,145	278,91	185	199	0.00158023893923	0.048371578706	0.52,0.469	0.585,0.632	-0.114
1287	ENSG00000079805.12	DNM2	chr19	+	10906736	10906875	10908055	10908194	10906047	10906115	10909161	10909248	1287	420,176	324,189	295,119	145,60	199	199	0.000228887719469	0.0130528709062	0.565,0.482	0.67,0.665	-0.144
4577	ENSG00000161558.6	TMEM143	chr19	-	48848416	48848611	48863328	48863433	48846577	48846708	48866547	48866788	4577	6,7	14,11	20,7	1,3	199	199	0.000433050812875	0.0192247110176	0.3,0.389	0.952,0.7	-0.481
1041	ENSG00000269699.1	ZIM2	chr19	-	57337755	57337798	57345010	57345131	57335629	57335795	57347385	57347472	1041	45,44	94,103	64,33	59,37	199	142	0.000242626571705	0.0136493840271	0.255,0.234	0.436,0.389	-0.168
939	ENSG00000198369.5	SPRED2	chr2	-	65559120	65559185	65561738	65561907	65543867	65544017	65571852	65572030	939	91,89	227,350	97,84	86,160	199	164	0.000559385403508	0.022830602302	0.248,0.173	0.482,0.302	-0.182
1739	ENSG00000204634.8	TBC1D8	chr2	-	101645952	101646238	101648729	101648847	101644764	101644894	101650005	101650220	1739	26,12	132,96	28,23	55,14	199	199	0.000106597795225	0.00693385346128	0.165,0.111	0.337,0.622	-0.342
2036	ENSG00000170144.14	HNRNPA3	chr2	+	178081230	178081320	178081403	178081499	178080705	178080916	178081587	178081668	2036	3124,3034	436,183	2656,3827	123,109	189	195	4.59632332195e-14	4.78362349732e-11	0.881,0.945	0.957,0.973	-0.052
4190	ENSG00000163466.11	ARPC2	chr2	+	219104113	219104207	219110142	219110269	219103386	219103573	219114086	219114187	4190	1022,1099	874,1215	873,1410	471,774	193	199	1.78755142466e-07	5.31541184347e-05	0.547,0.483	0.656,0.653	-0.14
763	ENSG00000135926.8	TMBIM1	chr2	-	219142657	219142697	219143237	219143288	219142355	219142393	219143760	219143814	763	866,774	125,176	551,736	60,64	150	139	2.62509643605e-05	0.00242850588073	0.865,0.803	0.895,0.914	-0.071
427	ENSG00000130414.7	NDUFA10	chr2	-	240951033	240954277	240957969	240958056	240946732	240946787	240960613	240960829	427	498,584	123,133	584,645	85,90	186	199	0.000528512341906	0.0217841275184	0.812,0.824	0.88,0.885	-0.065
